date,value,indicator_name
1979-09-06,999.0,Gold price INR
1979-09-07,972.0,Gold price INR
1979-09-10,990.0,Gold price INR
1979-09-11,994.5,Gold price INR
1979-09-12,999.0,Gold price INR
1979-09-13,1003.5,Gold price INR
1979-09-14,1030.5,Gold price INR
1979-09-17,1057.5,Gold price INR
1979-09-18,1120.5,Gold price INR
1979-09-19,1138.5,Gold price INR
1979-09-20,1125.0,Gold price INR
1979-09-21,1120.5,Gold price INR
1979-09-24,1138.5,Gold price INR
1979-09-25,1129.5,Gold price INR
1979-09-26,1098.0,Gold price INR
1979-09-27,1138.5,Gold price INR
1979-09-28,1174.5,Gold price INR
1979-10-01,1183.5,Gold price INR
1979-10-02,1300.5,Gold price INR
1979-10-03,1246.5,Gold price INR
1979-10-04,1174.5,Gold price INR
1979-10-05,1098.0,Gold price INR
1979-10-08,1138.5,Gold price INR
1979-10-09,1134.0,Gold price INR
1979-10-10,1224.0,Gold price INR
1979-10-11,1197.0,Gold price INR
1979-10-12,1165.5,Gold price INR
1979-10-15,1210.5,Gold price INR
1979-10-16,1201.5,Gold price INR
1979-10-17,1170.0,Gold price INR
1979-10-18,1152.0,Gold price INR
1979-10-19,1170.0,Gold price INR
1979-10-22,1201.5,Gold price INR
1979-10-23,1188.0,Gold price INR
1979-10-24,1183.5,Gold price INR
1979-10-25,1188.0,Gold price INR
1979-10-26,1143.0,Gold price INR
1979-10-29,1143.0,Gold price INR
1979-10-30,1152.0,Gold price INR
1979-10-31,1156.5,Gold price INR
1979-11-01,1156.5,Gold price INR
1979-11-02,1143.0,Gold price INR
1979-11-05,1156.5,Gold price INR
1979-11-06,1174.5,Gold price INR
1979-11-07,1183.5,Gold price INR
1979-11-08,1197.0,Gold price INR
1979-11-09,1183.5,Gold price INR
1979-11-12,1183.5,Gold price INR
1979-11-13,1170.0,Gold price INR
1979-11-14,1156.5,Gold price INR
1979-11-15,1143.0,Gold price INR
1979-11-16,1129.5,Gold price INR
1979-11-19,1156.5,Gold price INR
1979-11-20,1161.0,Gold price INR
1979-11-21,1179.0,Gold price INR
1979-11-22,1174.5,Gold price INR
1979-11-23,1165.5,Gold price INR
1979-11-26,1165.5,Gold price INR
1979-11-27,1170.0,Gold price INR
1979-11-28,1197.0,Gold price INR
1979-11-29,1210.5,Gold price INR
1979-11-30,1219.5,Gold price INR
1979-12-03,1246.5,Gold price INR
1979-12-04,1296.0,Gold price INR
1979-12-05,1278.0,Gold price INR
1979-12-06,1291.5,Gold price INR
1979-12-07,1291.5,Gold price INR
1979-12-10,1296.0,Gold price INR
1979-12-11,1318.5,Gold price INR
1979-12-12,1341.0,Gold price INR
1979-12-13,1363.5,Gold price INR
1979-12-14,1368.0,Gold price INR
1979-12-17,1377.0,Gold price INR
1979-12-18,1408.5,Gold price INR
1979-12-19,1467.0,Gold price INR
1979-12-20,1422.0,Gold price INR
1979-12-21,1413.0,Gold price INR
1979-12-24,1408.5,Gold price INR
1979-12-25,1408.5,Gold price INR
1979-12-26,1408.5,Gold price INR
1979-12-27,1485.0,Gold price INR
1979-12-28,1512.0,Gold price INR
1979-12-31,1543.5,Gold price INR
1980-01-01,1543.5,Gold price INR
1980-01-02,1633.5,Gold price INR
1980-01-03,1849.5,Gold price INR
1980-01-04,1746.0,Gold price INR
1980-01-07,1836.0,Gold price INR
1980-01-08,1786.5,Gold price INR
1980-01-09,1746.0,Gold price INR
1980-01-10,1777.5,Gold price INR
1980-01-11,1786.5,Gold price INR
1980-01-14,1881.0,Gold price INR
1980-01-15,1980.0,Gold price INR
1980-01-16,2232.0,Gold price INR
1980-01-17,2115.0,Gold price INR
1980-01-18,2389.5,Gold price INR
1980-01-21,2470.5,Gold price INR
1980-01-22,2236.5,Gold price INR
1980-01-23,1903.5,Gold price INR
1980-01-24,2083.5,Gold price INR
1980-01-25,2034.0,Gold price INR
1980-01-28,1863.0,Gold price INR
1980-01-29,1998.0,Gold price INR
1980-01-30,2065.5,Gold price INR
1980-01-31,1962.0,Gold price INR
1980-02-01,1980.0,Gold price INR
1980-02-04,1962.0,Gold price INR
1980-02-05,1930.5,Gold price INR
1980-02-06,2011.5,Gold price INR
1980-02-07,2047.5,Gold price INR
1980-02-08,2002.5,Gold price INR
1980-02-11,2074.5,Gold price INR
1980-02-12,2047.5,Gold price INR
1980-02-13,2016.0,Gold price INR
1980-02-14,1989.0,Gold price INR
1980-02-15,1971.0,Gold price INR
1980-02-18,1935.0,Gold price INR
1980-02-19,1948.5,Gold price INR
1980-02-20,1831.5,Gold price INR
1980-02-21,1890.0,Gold price INR
1980-02-22,1890.0,Gold price INR
1980-02-25,1836.0,Gold price INR
1980-02-26,1872.0,Gold price INR
1980-02-27,1849.5,Gold price INR
1980-02-28,1876.5,Gold price INR
1980-02-29,1890.0,Gold price INR
1980-03-03,1899.0,Gold price INR
1980-03-04,1890.0,Gold price INR
1980-03-05,1912.5,Gold price INR
1980-03-06,1894.5,Gold price INR
1980-03-07,1800.0,Gold price INR
1980-03-10,1804.5,Gold price INR
1980-03-11,1696.5,Gold price INR
1980-03-12,1732.5,Gold price INR
1980-03-13,1719.0,Gold price INR
1980-03-14,1507.5,Gold price INR
1980-03-17,1449.0,Gold price INR
1980-03-18,1413.0,Gold price INR
1980-03-19,1539.0,Gold price INR
1980-03-20,1674.0,Gold price INR
1980-03-21,1606.5,Gold price INR
1980-03-24,1633.5,Gold price INR
1980-03-25,1647.0,Gold price INR
1980-03-26,1570.5,Gold price INR
1980-03-27,1462.5,Gold price INR
1980-03-28,1476.0,Gold price INR
1980-03-31,1530.0,Gold price INR
1980-04-01,1561.5,Gold price INR
1980-04-02,1494.0,Gold price INR
1980-04-03,1485.0,Gold price INR
1980-04-04,1485.0,Gold price INR
1980-04-07,1485.0,Gold price INR
1980-04-08,1548.0,Gold price INR
1980-04-09,1629.0,Gold price INR
1980-04-10,1602.0,Gold price INR
1980-04-11,1579.5,Gold price INR
1980-04-14,1579.5,Gold price INR
1980-04-15,1476.0,Gold price INR
1980-04-16,1512.0,Gold price INR
1980-04-17,1516.5,Gold price INR
